"match_map_id","map_thumbnail","match_play_duration","match_season","match_uid","match_winner_side","mvp_uid","svp_uid","score_info.0","score_info.1","match_time_stamp","play_mode_id","game_mode_id","match_player.assists","match_player.kills","match_player.deaths","match_player.is_win.score","match_player.is_win.is_win","match_player.disconnected","match_player.player_uid","match_player.camp","match_player.score_info.add_score","match_player.score_info.level","match_player.score_info.new_level","match_player.score_info.new_score","match_player.player_hero.hero_id","match_player.player_hero.hero_name","match_player.player_hero.hero_type","match_player.player_hero.kills","match_player.player_hero.deaths","match_player.player_hero.assists","match_player.player_hero.play_time","match_player.player_hero.total_hero_damage","match_player.player_hero.total_damage_taken","match_player.player_hero.total_hero_heal","season","mode","kills","deaths","assists","is_win","hero_name","hero_type","damage","damage_taken","healing"
1032,"/maps/map_1032.png", 299.4057,"3","5517431_1753512528_1032086_11001_11",0, 901967183, 930216573,NA,NA,1753512916,0,1, 1, 6, 4,1,1,FALSE,1055442592,NA,  31.17802,   1.00000,   1.00000,3346.40938,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp, 6, 4, 1,299.3985, 2177.466, 3444.782,  196.00000,3,"Quick", 6, 4, 1,TRUE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp", 2177.466, 3444.782,  196.00000
1148,"/maps/map_1148.png", 644.6007,"3","5518204_1753493508_1148252_11001_11",1,2137570391, 554835306,NA,NA,1753494243,0,1, 1,16,10,1,1,FALSE,1055442592, 1,  27.77543,   1.00000,   1.00000,3288.50103,1014,the punisher,/heroes/transformations/the-punisher-headbig-0.webp, 7, 3, 0,293.3641, 5563.438, 4130.061,    0.00000,3,"Quick",16,10, 1,TRUE,"the punisher","/heroes/transformations/the-punisher-headbig-0.webp", 5563.438, 4130.061,    0.00000
1317,"/maps/map_1317.png", 810.2403,"3","5517797_1753489722_1317390_11001_11",0, 935922772, 280454498, 2, 1,1753490751,0,1, 0,26, 7,1,1,FALSE,1055442592,NA,  28.87550,   1.00000,   1.00000,3200.17989,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp,15, 4, 0,523.1230,12541.318, 4752.590,  978.34468,3,"Quick",26, 7, 0,TRUE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp",12541.318, 4752.590,  978.34468
1235,"/maps/map_1235.png",1054.7815,"3","5518578_1753163559_1235369_11001_11",0, 107597977,1890792734, 2, 1,1753164832,0,1, 3,22,13,0,0,FALSE,1055442592, 1, -29.21064,   1.00000,   1.00000,3118.26798,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp,15, 6, 2,555.1150,13512.099, 5911.910, 1500.14171,3,"Quick",22,13, 3,FALSE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp",13512.099, 5911.910, 1500.14171
1235,"/maps/map_1235.png", 342.3697,"3","5518340_1753078331_1235224_11001_11",1, 705343354,1055442592, 0, 2,1753078831,0,1, 0, 5, 6,0,0,FALSE,1055442592,NA, -28.38344,   1.00000,   1.00000,3147.47863,1022,captain america,/heroes/transformations/captain-america-headbig-0.webp, 2, 4, 0,213.7587, 3038.700, 5339.264,    0.00000,3,"Quick", 5, 6, 0,FALSE,"captain america","/heroes/transformations/captain-america-headbig-0.webp", 3038.700, 5339.264,    0.00000
1148,"/maps/map_1148.png", 624.6618,"3","5517621_1753077308_1148272_11001_11",1, 215292838,1995494649,NA,NA,1753078020,0,1, 4,22, 5,0,0,FALSE,1055442592,NA, -29.88680,   1.00000,   1.00000,3175.86206,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp,20, 4, 4,539.7166,12428.678, 5359.343, 1060.82442,3,"Quick",22, 5, 4,FALSE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp",12428.678, 5359.343, 1060.82442
1240,"/maps/map_1240.png", 645.5042,"3","6698959_1753076557_1240523_11001_13",1,1985246129,2034798258,NA,NA,1753077288,0,1, 3,11, 8,0,0,FALSE,1055442592,NA, -27.98408,   1.00000,   1.00000,3205.74886,1022,captain america,/heroes/transformations/captain-america-headbig-0.webp,11, 6, 3,465.0986, 6833.701,13753.718,   72.00000,3,"Quick",11, 8, 3,FALSE,"captain america","/heroes/transformations/captain-america-headbig-0.webp", 6833.701,13753.718,   72.00000
1286,"/maps/map_1286.png", 348.8914,"3","5518161_1752959606_1286086_11001_11",0,1202881782, 871362941,NA,NA,1752960041,0,1, 0, 5, 6,0,0,FALSE,1055442592, 1, -29.69145,   1.00000,   1.00000,3233.73294,1014,the punisher,/heroes/transformations/the-punisher-headbig-0.webp, 5, 6, 0,348.8761, 6993.295, 8061.491,    0.00000,3,"Quick", 5, 6, 0,FALSE,"the punisher","/heroes/transformations/the-punisher-headbig-0.webp", 6993.295, 8061.491,    0.00000
1309,"/maps/map_1309.png", 438.4812,"3","6697217_1752958987_1309124_11001_13",0,1391873805,1501500539, 2, 0,1752959582,0,1, 0, 9, 5,0,0,FALSE,1055442592, 1, -30.77145,   1.00000,   1.00000,3263.42440,1043,star-lord,/heroes/transformations/star-lord-headbig-0.webp, 9, 5, 0,418.3054, 7273.429, 3719.347,    0.00000,3,"Quick", 9, 5, 0,FALSE,"star-lord","/heroes/transformations/star-lord-headbig-0.webp", 7273.429, 3719.347,    0.00000
1201,"/maps/map_1201.png", 271.8179,"3","6697182_1752958601_1201080_11001_13",0, 859774991, 398734224,NA,NA,1752958964,0,1, 0, 1, 6,0,0,FALSE,1055442592, 1, -29.57624,   1.00000,   1.00000,3294.19585,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp, 0, 4, 0,179.4427, 3535.901, 2206.186,  296.01343,3,"Quick", 1, 6, 0,FALSE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp", 3535.901, 2206.186,  296.01343
1217,"/maps/map_1217.png", 503.6221,"3","5517542_1752954633_1217204_11001_11",1,  84140161,1828003711,NA,NA,1752955229,0,1, 0, 7, 9,0,0,FALSE,1055442592,NA, -32.16578,   1.00000,   1.00000,3323.77209,1014,the punisher,/heroes/transformations/the-punisher-headbig-0.webp, 7, 9, 0,503.6164, 9840.323, 6016.936,    0.00000,3,"Quick", 7, 9, 0,FALSE,"the punisher","/heroes/transformations/the-punisher-headbig-0.webp", 9840.323, 6016.936,    0.00000
1034,"/maps/map_1034.png", 608.6217,"3","6697002_1752901868_1034250_11001_13",1, 830286143, 687065704,NA,NA,1752902567,0,1, 5,11, 8,0,0,FALSE,1055442592,NA, -30.70074,   1.00000,   1.00000,3355.93788,1035,venom,/heroes/transformations/venom-headbig-0.webp,11, 7, 5,516.3833, 7771.934,23653.091,    0.00000,3,"Quick",11, 8, 5,FALSE,"venom","/heroes/transformations/venom-headbig-0.webp", 7771.934,23653.091,    0.00000
1101,"/maps/map_1101.png", 440.0765,"3","5518536_1752901316_1101226_11001_11",0,1183973633,1055442592,NA,NA,1752901846,0,1, 1,15, 8,0,0,FALSE,1055442592, 1, -29.26163,   1.00000,   1.00000,3386.63862,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp, 7, 4, 1,294.5119, 7180.828, 3140.851, 1039.93122,3,"Quick",15, 8, 1,FALSE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp", 7180.828, 3140.851, 1039.93122
1317,"/maps/map_1317.png", 905.4099,"3","5518295_1752890161_1317160_11001_11",0, 307283048,1055442592, 2, 1,1752891288,0,1, 6,23,17,0,0,FALSE,1055442592, 1, -30.70720,   1.00000,   1.00000,3415.90025,1022,captain america,/heroes/transformations/captain-america-headbig-0.webp,22,15, 6,804.7332,11899.091,24258.223,    0.00000,3,"Quick",23,17, 6,FALSE,"captain america","/heroes/transformations/captain-america-headbig-0.webp",11899.091,24258.223,    0.00000
1170,"/maps/map_1170.png", 757.2997,"3","5518251_1752889168_1170213_11001_11",1,1055442592,1461981753, 1, 2,1752890142,0,1, 2,32, 7,1,1,FALSE,1055442592, 1,  26.97783,   1.00000,   1.00000,3446.60745,1022,captain america,/heroes/transformations/captain-america-headbig-0.webp,19, 3, 2,410.5773, 8442.155,15076.715,    0.00000,3,"Quick",32, 7, 2,TRUE,"captain america","/heroes/transformations/captain-america-headbig-0.webp", 8442.155,15076.715,    0.00000
1240,"/maps/map_1240.png", 635.6242,"3","6697114_1752886845_1240393_11001_13",1,1021977142, 527517488,NA,NA,1752887567,0,1, 1,10, 7,1,1,FALSE,1055442592, 1,  28.88304,   1.00000,   1.00000,3334.61301,1035,venom,/heroes/transformations/venom-headbig-0.webp,10, 3, 1,442.7406, 8553.792,15424.341,    0.00000,3,"Quick",10, 7, 1,TRUE,"venom","/heroes/transformations/venom-headbig-0.webp", 8553.792,15424.341,    0.00000
1101,"/maps/map_1101.png", 574.4683,"3","5517661_1752886135_1101198_11001_11",0,1506891962,1457589046,NA,NA,1752886798,0,1, 2,15, 5,1,1,FALSE,1055442592,NA,  29.39840,   1.00000,   1.00000,3305.72997,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp,15, 5, 2,574.3197, 9822.901, 5139.478,  842.16766,3,"Quick",15, 5, 2,TRUE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp", 9822.901, 5139.478,  842.16766
1317,"/maps/map_1317.png", 470.9865,"3","5517995_1752821795_1317552_11001_11",1, 623769980, 176934573, 0, 2,1752822426,0,1, 0, 4,11,0,0,FALSE,1055442592,NA, -31.92071,   1.00000,   1.00000,3276.33157,1043,star-lord,/heroes/transformations/star-lord-headbig-0.webp, 4, 9, 0,354.5994, 2535.028, 3256.072,    0.00000,3,"Quick", 4,11, 0,FALSE,"star-lord","/heroes/transformations/star-lord-headbig-0.webp", 2535.028, 3256.072,    0.00000
1286,"/maps/map_1286.png", 632.7822,"3","5518336_1752818869_1286400_11001_11",0, 644410614, 326779865,NA,NA,1752819588,0,1, 2,20,11,0,0,FALSE,1055442592, 1, -30.56103,   1.00000,   1.00000,3336.71941,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp,15, 6, 0,368.3981, 7640.645, 4744.828,  226.84222,3,"Quick",20,11, 2,FALSE,"moon knight","/heroes/transformations/moon-knight-headbig-0.webp", 7640.645, 4744.828,  226.84222
1170,"/maps/map_1170.png", 821.8614,"3","5518451_1752817431_1170205_11001_11",1, 634198702,1977701140, 0, 2,1752818411,0,1, 2,17, 7,1,1,FALSE,1055442592, 1,NA,NA,NA,NA,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp,10, 3, 2,414.7015,10176.492, 4404.349,  971.03986,3,"Quick",17, 7, 2,TRUE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp",10176.492, 4404.349,  971.03986
1032,"/maps/map_1032.png", 299.4057,"3","5517431_1753512528_1032086_11001_11",0, 901967183, 930216573,NA,NA,1753512916,0,1, 1, 6, 4,1,1,FALSE,1055442592,NA,  31.17802,   1.00000,   1.00000,3346.40938,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp, 6, 4, 1,299.3985, 2177.466, 3444.782,  196.00000,3,"Competitive", 6, 4, 1,TRUE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp", 2177.466, 3444.782,  196.00000
1148,"/maps/map_1148.png", 644.6007,"3","5518204_1753493508_1148252_11001_11",1,2137570391, 554835306,NA,NA,1753494243,0,1, 1,16,10,1,1,FALSE,1055442592, 1,  27.77543,   1.00000,   1.00000,3288.50103,1014,the punisher,/heroes/transformations/the-punisher-headbig-0.webp, 7, 3, 0,293.3641, 5563.438, 4130.061,    0.00000,3,"Competitive",16,10, 1,TRUE,"the punisher","/heroes/transformations/the-punisher-headbig-0.webp", 5563.438, 4130.061,    0.00000
1317,"/maps/map_1317.png", 810.2403,"3","5517797_1753489722_1317390_11001_11",0, 935922772, 280454498, 2, 1,1753490751,0,1, 0,26, 7,1,1,FALSE,1055442592,NA,  28.87550,   1.00000,   1.00000,3200.17989,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp,15, 4, 0,523.1230,12541.318, 4752.590,  978.34468,3,"Competitive",26, 7, 0,TRUE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp",12541.318, 4752.590,  978.34468
1235,"/maps/map_1235.png",1054.7815,"3","5518578_1753163559_1235369_11001_11",0, 107597977,1890792734, 2, 1,1753164832,0,1, 3,22,13,0,0,FALSE,1055442592, 1, -29.21064,   1.00000,   1.00000,3118.26798,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp,15, 6, 2,555.1150,13512.099, 5911.910, 1500.14171,3,"Competitive",22,13, 3,FALSE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp",13512.099, 5911.910, 1500.14171
1235,"/maps/map_1235.png", 342.3697,"3","5518340_1753078331_1235224_11001_11",1, 705343354,1055442592, 0, 2,1753078831,0,1, 0, 5, 6,0,0,FALSE,1055442592,NA, -28.38344,   1.00000,   1.00000,3147.47863,1022,captain america,/heroes/transformations/captain-america-headbig-0.webp, 2, 4, 0,213.7587, 3038.700, 5339.264,    0.00000,3,"Competitive", 5, 6, 0,FALSE,"captain america","/heroes/transformations/captain-america-headbig-0.webp", 3038.700, 5339.264,    0.00000
1148,"/maps/map_1148.png", 624.6618,"3","5517621_1753077308_1148272_11001_11",1, 215292838,1995494649,NA,NA,1753078020,0,1, 4,22, 5,0,0,FALSE,1055442592,NA, -29.88680,   1.00000,   1.00000,3175.86206,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp,20, 4, 4,539.7166,12428.678, 5359.343, 1060.82442,3,"Competitive",22, 5, 4,FALSE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp",12428.678, 5359.343, 1060.82442
1240,"/maps/map_1240.png", 645.5042,"3","6698959_1753076557_1240523_11001_13",1,1985246129,2034798258,NA,NA,1753077288,0,1, 3,11, 8,0,0,FALSE,1055442592,NA, -27.98408,   1.00000,   1.00000,3205.74886,1022,captain america,/heroes/transformations/captain-america-headbig-0.webp,11, 6, 3,465.0986, 6833.701,13753.718,   72.00000,3,"Competitive",11, 8, 3,FALSE,"captain america","/heroes/transformations/captain-america-headbig-0.webp", 6833.701,13753.718,   72.00000
1286,"/maps/map_1286.png", 348.8914,"3","5518161_1752959606_1286086_11001_11",0,1202881782, 871362941,NA,NA,1752960041,0,1, 0, 5, 6,0,0,FALSE,1055442592, 1, -29.69145,   1.00000,   1.00000,3233.73294,1014,the punisher,/heroes/transformations/the-punisher-headbig-0.webp, 5, 6, 0,348.8761, 6993.295, 8061.491,    0.00000,3,"Competitive", 5, 6, 0,FALSE,"the punisher","/heroes/transformations/the-punisher-headbig-0.webp", 6993.295, 8061.491,    0.00000
1309,"/maps/map_1309.png", 438.4812,"3","6697217_1752958987_1309124_11001_13",0,1391873805,1501500539, 2, 0,1752959582,0,1, 0, 9, 5,0,0,FALSE,1055442592, 1, -30.77145,   1.00000,   1.00000,3263.42440,1043,star-lord,/heroes/transformations/star-lord-headbig-0.webp, 9, 5, 0,418.3054, 7273.429, 3719.347,    0.00000,3,"Competitive", 9, 5, 0,FALSE,"star-lord","/heroes/transformations/star-lord-headbig-0.webp", 7273.429, 3719.347,    0.00000
1201,"/maps/map_1201.png", 271.8179,"3","6697182_1752958601_1201080_11001_13",0, 859774991, 398734224,NA,NA,1752958964,0,1, 0, 1, 6,0,0,FALSE,1055442592, 1, -29.57624,   1.00000,   1.00000,3294.19585,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp, 0, 4, 0,179.4427, 3535.901, 2206.186,  296.01343,3,"Competitive", 1, 6, 0,FALSE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp", 3535.901, 2206.186,  296.01343
1217,"/maps/map_1217.png", 503.6221,"3","5517542_1752954633_1217204_11001_11",1,  84140161,1828003711,NA,NA,1752955229,0,1, 0, 7, 9,0,0,FALSE,1055442592,NA, -32.16578,   1.00000,   1.00000,3323.77209,1014,the punisher,/heroes/transformations/the-punisher-headbig-0.webp, 7, 9, 0,503.6164, 9840.323, 6016.936,    0.00000,3,"Competitive", 7, 9, 0,FALSE,"the punisher","/heroes/transformations/the-punisher-headbig-0.webp", 9840.323, 6016.936,    0.00000
1034,"/maps/map_1034.png", 608.6217,"3","6697002_1752901868_1034250_11001_13",1, 830286143, 687065704,NA,NA,1752902567,0,1, 5,11, 8,0,0,FALSE,1055442592,NA, -30.70074,   1.00000,   1.00000,3355.93788,1035,venom,/heroes/transformations/venom-headbig-0.webp,11, 7, 5,516.3833, 7771.934,23653.091,    0.00000,3,"Competitive",11, 8, 5,FALSE,"venom","/heroes/transformations/venom-headbig-0.webp", 7771.934,23653.091,    0.00000
1101,"/maps/map_1101.png", 440.0765,"3","5518536_1752901316_1101226_11001_11",0,1183973633,1055442592,NA,NA,1752901846,0,1, 1,15, 8,0,0,FALSE,1055442592, 1, -29.26163,   1.00000,   1.00000,3386.63862,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp, 7, 4, 1,294.5119, 7180.828, 3140.851, 1039.93122,3,"Competitive",15, 8, 1,FALSE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp", 7180.828, 3140.851, 1039.93122
1317,"/maps/map_1317.png", 905.4099,"3","5518295_1752890161_1317160_11001_11",0, 307283048,1055442592, 2, 1,1752891288,0,1, 6,23,17,0,0,FALSE,1055442592, 1, -30.70720,   1.00000,   1.00000,3415.90025,1022,captain america,/heroes/transformations/captain-america-headbig-0.webp,22,15, 6,804.7332,11899.091,24258.223,    0.00000,3,"Competitive",23,17, 6,FALSE,"captain america","/heroes/transformations/captain-america-headbig-0.webp",11899.091,24258.223,    0.00000
1170,"/maps/map_1170.png", 757.2997,"3","5518251_1752889168_1170213_11001_11",1,1055442592,1461981753, 1, 2,1752890142,0,1, 2,32, 7,1,1,FALSE,1055442592, 1,  26.97783,   1.00000,   1.00000,3446.60745,1022,captain america,/heroes/transformations/captain-america-headbig-0.webp,19, 3, 2,410.5773, 8442.155,15076.715,    0.00000,3,"Competitive",32, 7, 2,TRUE,"captain america","/heroes/transformations/captain-america-headbig-0.webp", 8442.155,15076.715,    0.00000
1240,"/maps/map_1240.png", 635.6242,"3","6697114_1752886845_1240393_11001_13",1,1021977142, 527517488,NA,NA,1752887567,0,1, 1,10, 7,1,1,FALSE,1055442592, 1,  28.88304,   1.00000,   1.00000,3334.61301,1035,venom,/heroes/transformations/venom-headbig-0.webp,10, 3, 1,442.7406, 8553.792,15424.341,    0.00000,3,"Competitive",10, 7, 1,TRUE,"venom","/heroes/transformations/venom-headbig-0.webp", 8553.792,15424.341,    0.00000
1101,"/maps/map_1101.png", 574.4683,"3","5517661_1752886135_1101198_11001_11",0,1506891962,1457589046,NA,NA,1752886798,0,1, 2,15, 5,1,1,FALSE,1055442592,NA,  29.39840,   1.00000,   1.00000,3305.72997,1054,phoenix,/heroes/transformations/phoenix-headbig-0.webp,15, 5, 2,574.3197, 9822.901, 5139.478,  842.16766,3,"Competitive",15, 5, 2,TRUE,"phoenix","/heroes/transformations/phoenix-headbig-0.webp", 9822.901, 5139.478,  842.16766
1317,"/maps/map_1317.png", 470.9865,"3","5517995_1752821795_1317552_11001_11",1, 623769980, 176934573, 0, 2,1752822426,0,1, 0, 4,11,0,0,FALSE,1055442592,NA, -31.92071,   1.00000,   1.00000,3276.33157,1043,star-lord,/heroes/transformations/star-lord-headbig-0.webp, 4, 9, 0,354.5994, 2535.028, 3256.072,    0.00000,3,"Competitive", 4,11, 0,FALSE,"star-lord","/heroes/transformations/star-lord-headbig-0.webp", 2535.028, 3256.072,    0.00000
